
|                                                                                                                        :address |                                                                                        :address-c | :postal-c | :c | :score |                  :x |                 :y |                                  :id |
|---------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+-----------+----+--------+---------------------+--------------------+--------------------------------------|
|                                                                                                 Avª do Sabor 5200-289 MOGADOURO |                                                   Avenida do Sabor, 5200-289, Mogadouro, Bragança |  5200-289 |  2 |    100 |  -6.704744832048174 | 41.346540157911015 | 0f7182e1-9ade-3a01-95c8-f5e495a01bc4 |
|                                                                                         Rua Conselheiro Bivar, 29 8000-255 FARO |                                                          Rua Conselheiro Bívar 29, 8000-255, Faro |  8000-255 |  1 |    100 |  -7.935562472760466 | 37.016889232684335 | 55d6802b-912e-3f06-8e09-fa2424319988 |
|                                                                                              Rua Conde Ferreira 6400-370 PINHEL |                                                      Rua Conde Ferreira, 6400-370, Pinhel, Guarda |  6400-370 |  1 |    100 |  -7.065995555468279 |  40.77383436378259 | f460634f-22c2-3fa5-9f74-2ae3233523a8 |
|                                                                      R. Dr. José Dias Sancho, 111 8150-141 SÃO BRÁS DE ALPORTEL |                             Rua Doutor José Dias Sancho 111, 8150-141, São Brás de Alportel, Faro |  8150-141 |  1 |    100 |  -7.883472478551227 |  37.15279207420903 | da91c99a-0066-3ad9-9b6e-0d1a43783cfa |
|                                                                                     Praça da República 3150-127 CONDEIXA-A-NOVA |                                            Praça da República, 3150-127, Condeixa-a-Nova, Coimbra |  3150-127 |  1 |    100 |  -8.498649927088366 |  40.11386306181066 | 262570dc-f73d-3342-a8cc-40229d0d147f |
|                                                                                                Rua do Lagar, 4 7170-079 REDONDO |                                                          Rua do Lagar 4, 7170-079, Redondo, Évora |  7170-079 |  1 |    100 |  -7.546649960589889 |  38.64993999649303 | f541f76c-2fc8-3e74-89da-45025bd1091f |
|                                                                                       Rua 27 de Maio, Lote 1 4740-227 ESPOSENDE |                                                      Rua 27 de Maio 1, 4740-227, Esposende, Braga |  4740-227 |  1 |    100 |  -8.782150032362978 | 41.540250001261114 | 69eaf92a-8e3c-3c1a-acce-d11474849ae2 |
|                                                                           Rua Tomé Adelino Vidigal, 14 - 7050 - MONTEMOR-O-NOVO |                                     Rua Tomé Adelino Vidigal 14, 7050-138, Montemor-o-Novo, Évora |  7050-138 |  1 |    100 |  -8.207999974586073 |  38.65241999209505 | 0f410351-2bb8-3c4d-bbb0-b46261df0759 |
|                                                                                            R. São Miguel 142 4585-457 REBORDOSA |                                        Rua de São Miguel 142, 4585-457, Rebordosa, Paredes, Porto |  4585-457 |  1 |    100 |   -8.41425352650715 |   41.2218727840964 | 6696f39b-6f48-39ab-b4a8-7b8a32754352 |
|                                                                   Avenida Dr. Renato Araújo, 2038, 3700-241 São João da Madeira |                          Avenida Doutor Renato Araújo 2038, 3700-241, São João da Madeira, Aveiro |  3700-241 |  1 |    100 |   -8.49330998421334 |  40.89356001973783 | 47d900fe-a9ee-3d64-be56-d005abc65376 |
|                                                                    Rua Luis Cristino da Silva, Lote 238, Loja D 1950-178 LISBOA |                                                  Rua Luís Cristino da Silva 238, 1950-178, Lisboa |  1950-178 |  1 |    100 |  -9.123270022274596 |  38.75850999204371 | 155941b0-d538-321a-8c87-c282d0953362 |
|                                                                                    Rua Francisco Sá Carneiro 5100-344 BRITIANDE |                                  Rua de Francisco Sá Carneiro, 5100-344, Britiande, Lamego, Viseu |  5100-344 |  1 |    100 |  -7.792150407794964 |  41.06321724842816 | b1b64999-0e41-3e55-bf6b-2a270a0e8460 |
|                                                                              Rua Dr. Afonso Viana, 60 4940-531 PAREDES DE COURA |                          Rua Doutor Afonso Viana 60, 4940-531, Paredes de Coura, Viana do Castelo |  4940-531 |  1 |    100 |  -8.559660040102727 |  41.90998999956528 | 06dab6ab-bf13-3cf4-b1d7-29e51d1494b1 |
|                                                                                          Rua dos Pescadores, 19 - Vila do Conde |                                             Rua dos Pescadores 19, 4480-804, Vila do Conde, Porto |  4480-804 |  2 |    100 |  -8.755514483244712 |  41.37343010393725 | f4690224-a11b-3a2d-ae74-5875a4b1dcb0 |
|                                                                           Rua Miguel Bombarda, 79 4910-524 VILA PRAIA de ÂNCORA |                 Rua Miguel Bombarda 79, 4910-524, Vila Praia de Âncora, Caminha, Viana do Castelo |  4910-524 |  2 |    100 |  -8.859609965635286 | 41.813519993710116 | e8df18c7-7ab9-3981-a651-5d4c08004906 |
|                                                                                      Rua do Comércio 3130-080 GRANJA DO ULMEIRO |                                      Rua do Comércio, 3130-080, Granja do Ulmeiro, Soure, Coimbra |  3130-080 |  1 |    100 |  -8.634721723787333 |  40.16334907770819 | 171bf96e-123a-35bb-bb87-6d39bf190fe1 |
|                                                                                              Bairro de S. Jorge 3230-257 PENELA |                                                    Bairro de São Jorge, 3230-257, Penela, Coimbra |  3230-257 |  1 |    100 |  -8.385557844121701 |  40.02570738439014 | 50a55030-a87e-3c0e-8d8a-6947a7b3d714 |
|                                                                                           Rua do Leigal, 155 4590-384 FREAMUNDE |                                  Rua de Leigal 155, 4590-384, Freamunde, Paços de Ferreira, Porto |  4590-384 |  1 |    100 |  -8.335400041348947 |  41.28662999779294 | 3e7eca21-2db3-37c6-b600-3c74d3a6745d |
