
|  address | score |                   x |                  y |
|----------+-------+---------------------+--------------------|
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
|          |     0 |                     |                    |
| 1000-070 |   100 |  -9.143745000075455 |  38.74061500594985 |
| 1000-268 |   100 |  -9.138370020845173 | 38.735454980626514 |
| 1000-298 |   100 |  -9.136769999347962 |  38.74224000551851 |
| 1050-028 |   100 |  -9.151754998206968 |  38.73231499396849 |
| 1050-117 |   100 |  -9.146680007291366 |  38.73113000240704 |
| 1050-151 |   100 |  -9.152524959832704 | 38.738825008617255 |
| 1050-195 |   100 |  -9.146067960721382 |  38.73984684643341 |
| 1070-020 |   100 |   -9.16360499764022 |  38.73877999779711 |
| 1070-083 |   100 |  -9.163665012066986 |  38.72738500997764 |
| 1100-230 |   100 |  -9.136999998771103 |  38.71307500578149 |
| 1170-164 |   100 |  -9.127819970775306 |  38.72965998422808 |
| 1170-286 |   100 |   -9.13421502762202 |   38.7239050114174 |
| 1250-018 |   100 |   -9.15692503990465 |  38.71847999222513 |
| 1250-060 |   100 |   -9.16322496215031 |  38.72069998119059 |
| 1250-152 |   100 |  -9.163060006295837 |  38.71698000874227 |
| 1300-114 |   100 |  -9.177715009626752 |  38.70484498269161 |
| 1350-259 |   100 |  -9.171694959128047 |  38.70554499733521 |
| 1350-314 |   100 |  -9.167384984515309 |  38.71955501321685 |
| 1400-350 |   100 |   -9.20672502797413 |  38.70759500130441 |
| 1495-137 |   100 |  -9.224355020199084 |  38.70752999964526 |
| 1500-089 |   100 |  -9.204325037637886 |  38.75154999492298 |
| 1500-179 |   100 |  -9.190715006175708 | 38.750664991676274 |
| 1500-361 |   100 |  -9.201385001280073 |   38.7566300149806 |
| 1600-152 |   100 |  -9.172220001542996 |  38.74906501208852 |
| 1600-189 |   100 |   -9.15118502879102 | 38.750030020601116 |
| 1600-296 |   100 |  -9.171469988846866 |  38.75105500163096 |
| 1600-413 |   100 |   -9.17882502506427 |  38.76154499536449 |
| 1600-620 |   100 |  -9.164950041642896 |  38.76185998728596 |
| 1700-038 |   100 |  -9.143335041190994 | 38.752870018944634 |
| 1750-105 |   100 |  -9.151460039034248 |  38.77502498159896 |
| 1750-230 |   100 |  -9.160905018989354 | 38.776134997036365 |
| 1800-096 |   100 |  -9.109565023849541 |  38.76219501195584 |
| 1885-066 |   100 |   -9.10345998085262 |  38.77966499364925 |
| 1900-119 |   100 |   -9.13299504161489 | 38.738115019508655 |
| 1900-180 |   100 |  -9.132909965297586 |  38.73658498690298 |
| 1900-228 |   100 |  -9.133544978282202 |  38.73554998949896 |
| 1950-178 |   100 |   -9.12327002227454 |  38.75840999593896 |
| 1950-211 |   100 |   -9.10974003798782 |  38.75444502046071 |
| 2000-223 |   100 |   -8.68622501785228 | 39.231694996930514 |
| 2025-570 |   100 |  -8.760875001904026 |   39.3535599901125 |
| 2040-212 |   100 |  -8.931225030185203 |  39.33331501173467 |
| 2040-277 |   100 |  -8.937995009561064 | 39.335239999618125 |
| 2040-339 |   100 |  -8.938219979842302 |  39.33361998728191 |
| 2040-411 |   100 |  -8.937180037115354 |  39.33850500236201 |
| 2050-158 |   100 |  -8.899956508027287 | 39.137706998334124 |
| 2050-356 |   100 |   -8.87176003720225 |  39.06786001244001 |
| 2065-016 |   100 |  -8.957099965287853 |  39.20621501710559 |
| 2070-084 |   100 |  -8.789725009719746 |  39.15932501627111 |
| 2070-099 |   100 |  -8.791844960670858 |   39.1651050090627 |
| 2070-116 |   100 |  -8.784665022410763 |  39.16235000321757 |
| 2080-012 |   100 |  -8.621619990384943 |  39.20697999149894 |
| 2090-144 |   100 |  -8.582320012423338 | 39.257829980579174 |
| 2100-330 |   100 |  -8.285250025002824 |  38.98816999000877 |
| 2125-120 |   100 |  -8.716219993641744 | 39.051385004562974 |
| 2130-060 |   100 |  -8.803980028631145 |  38.97653498639204 |
| 2135-202 |   100 |  -8.878390038795033 | 38.931894981736264 |
| 2200-024 |   100 |  -8.186489999381081 | 39.479975015614116 |
| 2200-233 |   100 |  -8.208894994207185 |  39.46728498184473 |
| 2200-238 |   100 |  -8.207545004881695 | 39.466604999949595 |
| 2205-055 |   100 |  -8.193730035886972 |  39.44738500260161 |
| 2230-224 |   100 |  -8.159760026335618 | 39.537424999073835 |
| 2240-028 |   100 |  -8.307127965757218 |  39.70416129552956 |
| 2300-442 |   100 |   -8.40011001024402 |  39.60662498586191 |
| 2300-449 |   100 |  -8.401480032318034 |  39.59852002076747 |
| 2300-482 |   100 |   -8.40450003203216 |   39.6039250072111 |
| 2300-576 |   100 |    -8.4105400314603 |  39.59873501658382 |
| 2330-099 |   100 |  -8.472869958948706 |  39.46462498487199 |
| 2330-114 |   100 |  -8.467439994433619 |  39.46471001927961 |
| 2330-134 |   100 |  -8.476724963857237 | 39.468069988986485 |
| 2350-754 |   100 |   -8.53577496881394 |  39.48079501720184 |
| 2380-014 |   100 |  -8.664050022449317 |  39.46012000528174 |
| 2400-123 |   100 |  -8.809225004543123 |  39.74285999766698 |
| 2400-258 |   100 |  -8.803524975107734 |  39.74729498836558 |
| 2400-448 |   100 |  -8.814950012049962 |  39.73955983283912 |
| 2410-078 |   100 |  -8.798775034397295 | 39.732025004798516 |
| 2415-376 |   100 |  -8.792920023572151 |  39.75810500316226 |
| 2415-423 |   100 |  -8.825799966615534 |  39.76173000864776 |
| 2420-104 |   100 |  -8.705815034315833 |  39.74364001757641 |
| 2425-507 |   100 |   -8.83413501495221 |  39.85076501492921 |
| 2425-603 |   100 |   -8.83503497989608 | 39.890819992819274 |
