
|     :cp7 | :postal-c | :c | :score |                  :x |                 :y |
|----------+-----------+----+--------+---------------------+--------------------|
| 2240-028 |  2240-028 |  1 |    100 |  -8.307127965757218 |  39.70416129552953 |
| 4505-473 |  4505-473 |  1 |    100 |   -8.48266496718054 | 40.987829985557056 |
| 4950-457 |  4950-457 |  1 |    100 |  -8.482349975259211 | 42.077280004544775 |
| 4610-250 |  4610-250 |  1 |    100 |  -8.214150028402997 |  41.37058498401689 |
| 8600-775 |  8600-775 |  1 |    100 |   -8.68144498610937 |  37.10613001468877 |
| 4765-550 |  4765-550 |  1 |    100 |  -8.360405018720968 |  41.40780499270548 |
| 8135-104 |  8135-104 |  1 |    100 |  -8.024379968654529 |  37.08527998863033 |
| 2675-424 |  2675-424 |  1 |    100 |   -9.18217502030646 |  38.78612501024554 |
| 5210-003 |  5210-003 |  1 |    100 |  -6.279969963375464 | 41.500525018899026 |
| 8005-147 |  8005-147 |  1 |    100 | -7.9399799871910375 |  37.02639498143755 |
| 3130-240 |  3130-240 |  1 |    100 |    -8.6301449726476 | 40.058055012513904 |
| 3080-008 |  3080-008 |  1 |    100 |    -8.8832500338942 |   40.1677700179479 |
| 3880-001 |  3880-001 |  1 |    100 |  -8.644069996031021 |  40.86331501177668 |
| 2430-593 |  2430-593 |  1 |    100 |  -8.912434982560768 | 39.875409989559756 |
| 4730-711 |  4730-711 |  1 |    100 |  -8.436440028453461 |  41.64725999890234 |
| 4470-054 |  4470-054 |  1 |    100 |   -8.60136998286535 |  41.21749501266399 |
| 4200-056 |  4200-056 |  1 |    100 |  -8.613609992253402 |  41.18057499229005 |
| 4765-220 |  4765-220 |  1 |    100 |  -8.393220002014772 |  41.38700001937664 |
| 2845-367 |  2845-367 |  1 |    100 |  -9.113505021256174 |  38.61996999877505 |
| 1950-178 |  1950-178 |  1 |    100 |  -9.123270022274596 |  38.75840999593885 |
| 3610-103 |  3610-103 |  1 |    100 |  -7.773625025420273 | 41.030970006729916 |
| 4430-121 |  4430-121 |  1 |    100 |  -8.600624999311123 | 41.123515018785156 |
| 3250-115 |  3250-115 |  1 |    100 |   -8.38065502624059 |  39.82147998633863 |
| 4900-422 |  4900-422 |  1 |    100 |  -8.823635004844334 | 41.703229989718295 |
| 2695-731 |  2695-731 |  1 |    100 |  -9.097385028888198 |  38.82128001135834 |
| 4200-282 |  4200-282 |  1 |    100 |   -8.58801501271688 |   41.1767100129168 |
| 4860-407 |  4860-407 |  1 |    100 |  -7.998345023020335 | 41.515129982268036 |
| 3000-171 |  3000-171 |  1 |    100 |  -8.431759992815444 |  40.21023001531614 |
| 1250-152 |  1250-152 |  1 |    100 |  -9.163060006295837 |   38.7169800087423 |
| 3260-400 |  3260-400 |  1 |    100 |   -8.27527170454863 |  39.90660035047057 |
| 4750-106 |  4750-106 |  1 |    100 |  -8.612244999321291 |  41.53547001142775 |
| 3050-345 |  3050-345 |  1 |    100 |   -8.45290501995612 |  40.37545501271981 |
| 3750-154 |  3750-154 |  1 |    100 |  -8.448360016778281 |  40.58181000900538 |
| 3100-480 |  3100-480 |  1 |    100 |   -8.62352502933868 |  39.91807999551207 |
| 2695-021 |  2695-021 |  1 |    100 |  -9.101770021534406 | 38.806720016899845 |
| 5070-059 |  5070-059 |  1 |    100 |  -7.477549969906704 |  41.27537000052416 |
| 2670-506 |  2670-506 |  1 |    100 |   -9.19070997703389 | 38.839114983025524 |
| 3810-158 |  3810-158 |  1 |    100 |  -8.608229983881216 |  40.64006750501696 |
| 2040-277 |  2040-277 |  1 |    100 |  -8.937995009561064 |  39.33523999961804 |
| 5430-469 |  5430-469 |  1 |    100 |  -7.313410009869102 | 41.619489999310815 |
| 2460-001 |  2460-001 |  1 |    100 |   -8.98186999791389 | 39.556360011713736 |
| 4800-411 |  4800-411 |  1 |    100 |  -8.292930027606388 | 41.442000014447615 |
| 2640-202 |  2640-202 |  1 |    100 |  -9.398664994816613 | 39.050055006076605 |
| 7540-201 |  7540-201 |  1 |    100 |   -8.69300002636993 |   38.0183500135403 |
| 8500-543 |  8500-543 |  1 |    100 |  -8.537565008056134 | 37.136834979586695 |
| 5300-252 |  5300-252 |  1 |    100 |  -6.763875003328479 |  41.80275000250094 |
| 4625-049 |  4625-049 |  1 |    100 |  -8.217085035618908 | 41.114469981339965 |
| 2590-430 |  2590-430 |  1 |    100 |  -9.197539970836374 |  38.96927001372413 |
| 4415-534 |  4415-534 |  1 |    100 |  -8.557185031733098 |  41.02445500484876 |
| 3300-011 |  3300-011 |  1 |    100 |  -8.052119961032702 | 40.220920001259515 |
| 4820-365 |  4820-365 |  1 |    100 |  -8.180270040491735 |  41.44800501943007 |
| 4755-304 |  4755-304 |  1 |    100 |  -8.506494969365406 |  41.53265000392341 |
| 2750-179 |  2750-179 |  1 |    100 |  -9.434720002782853 |  38.69553998051936 |
| 2560-230 |  2560-230 |  1 |    100 |  -9.258540025566958 | 39.093994996088554 |
| 7520-124 |  7520-124 |  1 |    100 |  -8.861270001559177 |  37.95780999956551 |
| 3070-141 |  3070-141 |  1 |    100 |  -8.750734994537538 |  40.44038500657322 |
| 4430-196 |  4430-196 |  1 |    100 |  -8.606774969308987 |  41.11746500298264 |
| 4445-210 |  4445-210 |  1 |    100 |  -8.533340025941527 | 41.231684988006805 |
| 1050-028 |  1050-028 |  1 |    100 |  -9.151754998206968 |  38.73231499396837 |
| 4780-548 |  4780-548 |  1 |    100 |  -8.477189991845364 |  41.34361000794155 |
| 5100-344 |  5100-344 |  1 |    100 |   -7.79275001389567 | 41.062680003728104 |
| 4970-459 |  4970-459 |  1 |    100 |  -8.421574974628896 |  41.84722500939259 |
| 3600-127 |  3600-127 |  1 |    100 | -7.9229907914637465 |  40.89873131872096 |
| 2605-842 |  2605-842 |  1 |    100 |   -9.22917503362018 |  38.80115501992458 |
| 2810-001 |  2810-001 |  1 |    100 |  -9.154222462863771 |   38.6585399967891 |
| 5070-011 |  5070-011 |  1 |    100 |  -7.477315025160692 | 41.272120001386895 |
| 2200-024 |  2200-024 |  1 |    100 |   -8.18648999938111 |  39.47997501561417 |
| 7600-088 |  7600-088 |  1 |    100 |  -8.166720023456378 |  37.87837000930605 |
| 2500-191 |  2500-191 |  1 |    100 |   -9.13776996039681 | 39.405250013528985 |
| 2745-123 |  2745-123 |  1 |    100 |  -9.268450033510305 |  38.75727001519746 |
| 2560-374 |  2560-374 |  1 |    100 |  -9.262510030186974 | 39.105610008866336 |
| 4590-206 |  4590-206 |  1 |    100 |  -8.342266496430284 |   41.3153621979595 |
| 1900-119 |  1900-119 |  1 |    100 |  -9.132995041614862 |  38.73811501950868 |
| 2675-604 |  2675-604 |  1 |    100 |  -9.175260034005731 |  38.79651002064185 |
| 2830-354 |  2830-354 |  1 |    100 |   -9.07416497779738 | 38.660615020739215 |
| 3630-240 |  3630-240 |  1 |    100 |   -7.39442671993487 |  40.99023596895404 |
| 2675-639 |  2675-639 |  1 |    100 |  -9.191009965348542 |  38.78788500036481 |
| 2300-576 |  2300-576 |  1 |    100 |  -8.410540031460357 |  39.59873501658382 |
| 5000-607 |  5000-607 |  1 |    100 |  -7.742784986152685 |  41.30246500545297 |
