
|                                 :title-clean |                                        :k | :nec |
|----------------------------------------------+-------------------------------------------+------|
|                                        Royal |                                           |      |
|                                     Campanhã |                                           |      |
|                                     Campanhã |                                           |      |
|                 Escola de Condução Automóvel |                                           |      |
|                  Automóvel Clube de Portugal |                automovel_club_de_portugal |    1 |
|                  Automóvel Clube de Portugal |                                       acp |    2 |
|                                              |                                 a_popular |    5 |
|                                              |                     automoveis_monumental |    6 |
|                                              |                     a_desportiva_boavista |    7 |
|                                     Victória |                                   vitoria |    8 |
|                                              |                                      enal |    9 |
|                   Lusitânea de Automobilismo |                 lusitania_de_automobilsmo |   10 |
|                                 Montemorense |                                   rodaqui |   11 |
|                                       Bastos |                                    bastos |   12 |
|                                      Morarte |                                   morarte |   13 |
|                                              |                                    carsil |   14 |
|                                              |                         estrela_torriense |   15 |
|                                      Moderna |                                   moderna |   16 |
|                                  Hugo Vieira |                         hugo_vieira_porto |   17 |
|                    Eduardo Pereira de Campos |                                e_p_campos |   19 |
|                                     Ouriense |                                  ouriense |   20 |
|                                 S. Cristóvão |                             sao_cristovao |   21 |
|                                M. M. Ouressa |                               m_m_ouressa |   22 |
|                                              |                                ribatejana |   23 |
|                                        Dokas |                                     dokas |   24 |
|                                     M. Silva |                                   m_silva |   25 |
|                       Vencedora Alcanterense |                                 alkantara |   27 |
|                                      Benfica |                                de_benfica |   28 |
|                                   Auto Águia |                                auto_aguia |   29 |
|                    Técnica Automóvel Silvino |                 tecnica_automovel_silvino |   30 |
|                                              |                              a_portuguesa |   31 |
|                     Instrutora de Automóveis |                                      idal |   32 |
|                                              |                                 a_imperio |   33 |
|                                     Destaque |                                  destaque |   34 |
|                                      Neuropa |                                   neuropa |   35 |
|                                       Pincor |                                    pincor |   36 |
|                                    Campolide |                                           |   38 |
|                                    Torrejana |                                 torrejana |   39 |
|                         Automóvel Lisbonense |                      automovel_lisbonense |   40 |
|                                    Telheiras |                                 telheiras |   41 |
|                                   Carvalhido |                                carvalhido |   42 |
|                                     Saldanha |                                  saldanha |   44 |
|                          Gonçalves e Delgado |                       goncalves_e_delgado |   45 |
|                                Moderna-Tomar |                          moderna_de_tomar |   47 |
|                                              |                                    sintra |   48 |
|                             Boavista – Porto |                                  boavista |   49 |
|                                      Invicta |                                   invicta |   52 |
|                                    S. Mamede |                                  s_mamede |   53 |
|                                      Radical |                                   radical |   55 |
|                                  Vila Franca |                               vila_franca |   56 |
|                                       França |                                    franca |   57 |
|                                    Portuense |                                 portuense |   58 |
|                         Instrutores Reunidos |                                      ecir |   59 |
|                                  Vimaranense |                               vimaranense |   60 |
|                           Central do Sameiro |                        central_do_sameiro |   61 |
|                                      Ribeiro |                                   ribeiro |   62 |
|                                              |                                 albertino |   64 |
|                                       Águeda |                                    agueda |   67 |
|                                              |                                 a_capital |   68 |
|                                  Santa Clara |                               santa_clara |   69 |
|                                      Viriato |                                   viriato |   71 |
|                                              |                       oliveira_de_azemeis |   73 |
|                                      Colombo |                                   colombo |   74 |
|                                              |                                 olhanense |   77 |
|                                Portalegrense |                             portalegrense |   78 |
|                                      Farense |                                   farense |   79 |
|                                              |                            antonio_viegas |   80 |
|                                              |                                fundanense |   81 |
|                        Automobilista de Beja |                   automobilistica_de_beja |   82 |
|                                              |                            g_gomes_guarda |   83 |
|                           Centro de Portugal |                        centro_de_portugal |   84 |
|                                   Cantanhede |                                cantanhede |   85 |
|                                     Vianense |                                a_vianense |   86 |
|                               A Estarrejense |                              estarrejense |   87 |
|                                              |                                   iberica |   88 |
|                                    Flaviense |                                 flaviense |   89 |
|                                              |                              entre_linhas |   92 |
