
|                                             :k | :score |     :cp7 |                                                                                                                        :address |                                                                                        :address-c |
|------------------------------------------------+--------+----------+---------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------|
|                                 livracao-01167 |    100 | 4635-518 |                                                                                              Lugar da Livração 4635-518 TOUTOSA |                                                                                                   |
|                        quinta-das-flores-01377 |    100 | 3030-193 |                                                                                 Av. Dr. Mendes Silva, loja 285 3030-193 Coimbra |                                                                                                   |
|                                barquense-00605 |    100 | 4980-625 |                                              Largo Santo António Centro Comercial O Emigrante – Loja 24 4980-625 PONTE DA BARCA |                                                                                                   |
|                              a-paredense-00821 |    100 | 4580-058 |                                                  Avª Campo das Laranjeiras – Edifício Europa 6 r/c 4580-058 CASTELÕES de CEPEDA |                                                                                                   |
|                                malvarosa-01272 |    100 | 2615-150 |                                                         Urbanização Malva Rosa, Lote 43, Verdelha, 2615-150 ALVERCA DO RIBATEJO |                                                                                                   |
|                                   baleia-00548 |    100 | 2520-201 |                                                                                      Porto de Lobos 2520-201 ATOUGUIA da BALEIA |                                                                                                   |
|                          americo-e-pires-00892 |    100 | 6355-201 |                                                                                     Bairro da Bela Vista 6355-201 VILAR FORMOSO |                                                                                                   |
|                             do-almirante-01247 |    100 | 2670-337 |                                                                             Casal do Almirante, Lote 3, Bloco 4 2670-337 LOURES |                                                                                                   |
|                               eficiencia-01299 |    100 | 4795-548 |                                                                  Av.ª da Indústria Têxtil, n.º 330 ; 4795-548 São Tomé Negrelos |                                                                                                   |
|                                    arede-01415 |    100 | 6370-103 |                                                        Loteamento dos Quintais da Vila, lote 6 r/c, 6370-103 Fornos de Algodres |                                                                                                   |
|                              a-confianca-00117 |    100 | 1885-066 |                                                                               Avª de Moscavide, 14 – 1º Esqº 1885-066 MOSCAVIDE |                                                                                                   |
|                              quatro-ases-00662 |    100 | 4630-203 |                                                                    Avª F. C. Porto - Edificio Via Marco, Loja 68 4630-203 TUIAS |                                                                                                   |
|                                   cardal-01394 |    100 | 3100-389 |                                                     Rua Marechal António Spínola, edifício Intermarché, Várzea, 3100-389 POMBAL |                                                                                                   |
|                              grandolense-00106 |    100 | 7570-270 |                                                                      Avª António Inácio da Cruz, Nº 29/30 R/C 7570-270 GRÂNDOLA |                                                                                                   |
|                     senhora-dos-remedios-00583 |    100 | 5100-187 |                                                                                  Quinta do Paraíso, Bloco 3 r/c 5100-187 LAMEGO |                                                                                                   |
|                      volante-de-celorico-00810 |    100 | 4890-296 |                                                           Rua de Barreirós, 27, R/C, Britelo, 4890-296 Celorico de Basto, Braga |                                                                                                   |
|                           auto-esperanca-00742 |    100 | 8900-282 |                                                    Urbanização Amendoeiras, Lote 15, R/C H, 8900-282 VILA REAL de SANTO ANTÓNIO |                                                                                                   |
|                                  cascais-01298 |    100 | 2750-513 |                                                                  A.ª 25 de Abril, n.º 850, Loja B, Fracção GB, 2750-513 CASCAIS |                                                                                                   |
