
| :nec |                                    :imt/name |                                                                       :pr/name |                                                                                :pr/k |
|------+----------------------------------------------+--------------------------------------------------------------------------------+--------------------------------------------------------------------------------------|
| 1244 |                                              |                                                  Escola De Condução Via Segura |                                                                     via-segura-01244 |
|  770 |                                 De Alfragide |                                                Escola De Condução De Alfragide |                                                                   de-alfragide-00770 |
|   48 |                          Automóvel de Sintra |                                                      Escola De Condução Sintra |                                                                         sintra-00048 |
|  791 |                                Colina do Sol |                                               Escola De Condução Colina Do Sol |                                                                  colina-do-sol-00791 |
|  842 |                                       Duarte |                                                      Escola De Condução Duarte |                                                                         duarte-00842 |
| 1189 |                                       Freire |                                                      Escola De Condução Freire |                                                                         freire-01189 |
|  534 |                          A Nova de Estarreja |                                         Escola De Condução A Nova De Estarreja |                                                            a-nova-de-estarreja-00534 |
| 1106 |                                      Estádio |                                                     Escola De Condução Estádio |                                                                        estadio-01106 |
|  544 |                                   Deu-la-Deu |                                                  Escola De Condução Terra Nova |                                                                     terra-nova-00544 |
|  967 |    Guiarte de José Manuel Moreira e Carvalho |                                                     Escola De Condução Guiarte |                                                                        guiarte-00967 |
|  384 |                                    Académica |                                                   Escola De Condução Académica |                                                                      academica-00384 |
|  660 |                                Aguçadourense |                                               Escola De Condução Aguçadourense |                                                                  agucadourense-00660 |
| 1428 |                                Verde Minho 2 |                                               Escola de Condução Verde Minho 2 |                                                                  verde-minho-2-01428 |
|  506 |                                     Joanense |                                                    Escola De Condução Joanense |                                                                       joanense-00506 |
|  542 |                                    S. Lázaro |                                                   Escola De Condução S. Lázaro |                                                                       s-lazaro-00542 |
|  464 |                       A Desportiva – Palácio |                                      Escola De Condução A Desportiva (Palácio) |                                                           a-desportiva-palacio-00464 |
|  443 |                                     Pampicar |                                           ESCOLA DE CONDUÇÃO CIRCULAR DE BRAGA |                                                              circular-de-braga-00443 |
|  453 |                              Costa Vicentina |                                             Escola De Condução Costa Vicentina |                                                                costa-vicentina-00453 |
| 1121 |                                Vale do Tamel |                                               Escola De Condução Vale Do Tamel |                                                                  vale-do-tamel-01121 |
|  801 |                                  Sobre Rodas |                                                 Escola De Condução Sobre Rodas |                                                                    sobre-rodas-00801 |
| 1187 |                                    Babilónia |                                                      Escola De Condução Chelas |                                                                         chelas-01187 |
|  414 |                                 Santiaguense |                                                Escola De Condução Santiaguense |                                                                   santiaguense-00414 |
| 1352 |                                      Ramalde |                                                  Escola De Condução De Ramalde |                                                                     de-ramalde-01352 |
| 1035 |                              Águia de Aveiro |                                             Escola De Condução Águia De Aveiro |                                                                aguia-de-aveiro-01035 |
| 1138 |                                    Instrusol |                                                   Escola De Condução Instrusol |                                                                      instrusol-01138 |
|  773 |                                              |                                                 Escola De Condução Prioritária |                                                                    prioritaria-00773 |
|  758 |                                     Campelos |                                                    Escola De Condução Campelos |                                                                       campelos-00758 |
| 1433 |                                  Tomar Drive |                                                 Escola de Condução Tomar Drive |                                                                    tomar-drive-01433 |
|  166 |                                 Auto Cadaval |                                                Escola De Condução Auto Cadaval |                                                                   auto-cadaval-00166 |
|  442 |                                Porto Mosense |                                                Escola De Condução Portomosense |                                                                   portomosense-00442 |
| 1188 |                                    Tondeluir |                                                   Escola De Condução Tondeluir |                                                                      tondeluir-01188 |
| 1373 |                                              |                                                    Escola De Condução Boa Onda |                                                                       boa-onda-01373 |
