
|     :cp7 | :postal-c | :c | :score |              :x |              :y |
|----------+-----------+----+--------+-----------------+-----------------|
| 1000-001 |  1000-001 |  1 |    100 | -9.138755001658 | 38.733104988343 |
| 1000-070 |  1000-070 |  1 |    100 | -9.143745000075 |  38.74061500595 |
| 1000-198 |  1000-198 |  1 |    100 | -9.136879969918 | 38.735499991446 |
| 1000-268 |  1000-268 |  1 |    100 | -9.138370020845 | 38.735454980626 |
| 1000-298 |  1000-298 |  1 |    100 | -9.136769999348 | 38.742240005518 |
| 1050-028 |  1050-028 |  1 |    100 | -9.151754998207 | 38.732314993968 |
| 1050-117 |  1050-117 |  1 |    100 | -9.146710014505 | 38.731080004355 |
| 1050-151 |  1050-151 |  1 |    100 | -9.152524959833 | 38.738825008617 |
| 1050-195 |  1050-195 |  1 |    100 | -9.146067960721 | 38.739846846433 |
| 1070-083 |  1070-083 |  1 |    100 | -9.163665012067 | 38.727385009978 |
| 1100-230 |  1100-230 |  1 |    100 | -9.136999998771 | 38.713075005781 |
| 1170-164 |  1170-164 |  1 |    100 | -9.127819970775 | 38.729659984228 |
| 1170-286 |  1170-286 |  1 |    100 | -9.134215027622 | 38.723905011417 |
| 1250-018 |  1250-018 |  1 |    100 | -9.156910036298 | 38.718499983064 |
| 1250-060 |  1250-060 |  1 |    100 | -9.162860014086 | 38.720625005067 |
| 1250-152 |  1250-152 |  1 |    100 | -9.163060006296 | 38.716980008742 |
| 1300-114 |  1300-114 |  1 |    100 | -9.177715009627 | 38.704844982691 |
| 1350-259 |  1350-259 |  1 |    100 | -9.171694959128 | 38.705544997335 |
| 1350-314 |  1350-314 |  1 |    100 | -9.167384984515 | 38.719555013217 |
| 1400-350 |  1400-350 |  1 |    100 | -9.206725027974 | 38.707595001304 |
| 1495-043 |  1495-043 |  1 |    100 | -9.228540020636 | 38.699565012334 |
| 1495-137 |  1495-137 |  1 |    100 | -9.224355020199 | 38.707529999645 |
| 1500-089 |  1500-089 |  1 |    100 | -9.204325037638 | 38.751549994923 |
| 1500-179 |  1500-179 |  1 |    100 | -9.190715006176 | 38.750664991676 |
| 1500-359 |  1500-359 |  1 |    100 | -9.179764971686 | 38.752204998747 |
| 1500-361 |  1500-361 |  1 |    100 |  -9.20138500128 | 38.756630014981 |
| 1500-618 |  1500-618 |  1 |    100 | -9.201690018737 | 38.744945013311 |
| 1600-152 |  1600-152 |  1 |    100 | -9.172220001543 | 38.749065012089 |
| 1600-189 |  1600-189 |  1 |    100 | -9.151185028791 | 38.750030020601 |
| 1600-296 |  1600-296 |  1 |    100 | -9.171469988847 | 38.751055001631 |
| 1600-413 |  1600-413 |  1 |    100 | -9.178825025064 | 38.761544995365 |
| 1600-620 |  1600-620 |  1 |    100 | -9.164950041643 | 38.761859987286 |
| 1675-124 |  1675-124 |  1 |    100 | -9.200585032441 | 38.767560016721 |
| 1700-038 |  1700-038 |  1 |    100 | -9.143335041191 | 38.752870018945 |
| 1750-091 |      1750 |  1 |  73.83 |        -9.15189 |    38.778016583 |
| 1750-105 |  1750-105 |  1 |    100 | -9.151460039034 | 38.775024981599 |
| 1750-230 |  1750-230 |  1 |    100 | -9.160905018989 | 38.776134997036 |
| 1769-020 |      1769 |  1 |  73.83 |        -9.15746 |        38.76505 |
| 1800-000 |      1800 |  1 |  73.83 |    -9.112449828 |       38.767732 |
| 1800-096 |  1800-096 |  1 |    100 |  -9.10956502385 | 38.762195011956 |
| 1885-066 |  1885-066 |  1 |    100 | -9.103459980853 | 38.779664993649 |
| 1900-032 |  1900-032 |  1 |    100 | -9.126629991982 | 38.740179985175 |
| 1900-119 |  1900-119 |  1 |    100 | -9.132995041615 | 38.738115019509 |
| 1900-180 |  1900-180 |  1 |    100 | -9.132909965298 | 38.736584986903 |
| 1900-228 |  1900-228 |  1 |    100 | -9.133544978282 | 38.735549989499 |
| 1950-178 |  1950-178 |  1 |    100 | -9.123270022275 | 38.758409995939 |
| 1950-211 |  1950-211 |  1 |    100 | -9.109740037988 | 38.754445020461 |
| 1990-095 |  1990-095 |  1 |    100 | -9.097234992821 | 38.769815000133 |
| 2000-223 |  2000-223 |  1 |    100 | -8.686225017852 | 39.231694996931 |
| 2005-173 |  2005-173 |  1 |    100 |  -8.69130503791 | 39.242054987346 |
| 2025-031 |      2025 |  1 |  73.83 |    -8.828196215 |       39.401165 |
| 2025-570 |  2025-570 |  1 |    100 | -8.760875001904 | 39.353559990112 |
| 2040-277 |  2040-277 |  1 |    100 | -8.937995009561 | 39.335239999618 |
| 2040-339 |  2040-339 |  1 |    100 | -8.938219979842 | 39.333619987282 |
| 2040-411 |  2040-411 |  1 |    100 | -8.937180037115 | 39.338505002362 |
| 2050-158 |  2050-158 |  1 |    100 |  -8.89994502482 | 39.137669992232 |
| 2050-356 |  2050-356 |  1 |    100 | -8.871760037202 |  39.06786001244 |
| 2065-016 |  2065-016 |  1 |    100 | -8.957099965288 | 39.206215017106 |
| 2070-084 |  2070-084 |  1 |    100 |  -8.78972500972 | 39.159325016271 |
| 2070-099 |  2070-099 |  1 |    100 | -8.791844960671 | 39.165105009063 |
| 2070-116 |  2070-116 |  1 |    100 |  -8.78492997437 | 39.162350003218 |
| 2070-356 |      2070 |  1 |  73.83 |    -8.819912547 |        39.15143 |
| 2080-012 |  2080-012 |  1 |    100 | -8.621619990385 | 39.206979991499 |
| 2080-091 |  2080-091 |  1 |    100 | -8.624430023425 | 39.212874984002 |
| 2090-144 |  2090-144 |  1 |    100 | -8.581960009682 | 39.257614984763 |
| 2100-330 |  2100-330 |  1 |    100 | -8.285254970326 | 38.988019995851 |
| 2125-120 |  2125-120 |  1 |    100 | -8.716219993642 | 39.051385004563 |
| 2130-060 |  2130-060 |  1 |    100 | -8.803980028631 | 38.976534986392 |
| 2135-003 |      2135 |  1 |  73.83 |    -8.839291408 |    38.838046366 |
| 2135-202 |  2135-202 |  1 |    100 | -8.878390038795 | 38.931759991186 |
| 2200-024 |  2200-024 |  1 |    100 | -8.186489999381 | 39.479975015614 |
| 2200-233 |  2200-233 |  1 |    100 | -8.208894994207 | 39.467284981845 |
| 2200-238 |  2200-238 |  1 |    100 | -8.207545004882 |  39.46660499995 |
| 2205-055 |  2205-055 |  1 |    100 | -8.193730035887 | 39.447385002602 |
| 2230-224 |  2230-224 |  1 |    100 | -8.159760026336 | 39.537424999074 |
| 2240-028 |  2240-028 |  1 |    100 | -8.306065727168 | 39.704102580298 |
| 2300-442 |  2300-442 |  1 |    100 | -8.400110010244 | 39.606624985862 |
| 2300-449 |  2300-449 |  1 |    100 | -8.401480032318 | 39.598520020767 |
| 2300-482 |  2300-482 |  1 |    100 | -8.404500032032 | 39.603925007211 |
| 2300-576 |  2300-576 |  1 |    100 |  -8.41054003146 | 39.598735016584 |
| 2330-099 |  2330-099 |  1 |    100 | -8.472869958949 | 39.464624984872 |
| 2330-114 |  2330-114 |  1 |    100 | -8.467439994434 |  39.46471001928 |
| 2330-134 |  2330-134 |  1 |    100 | -8.476724963857 | 39.468069988987 |
| 2350-754 |  2350-754 |  1 |    100 | -8.535774968814 | 39.480795017202 |
| 2380-014 |  2380-014 |  1 |    100 | -8.664050022449 | 39.460120005282 |
| 2400-078 |      2400 |  1 |  73.83 |       -8.856743 |    39.755967432 |
| 2400-123 |  2400-123 |  1 |    100 | -8.809225004543 | 39.742859997667 |
| 2400-250 |  2400-250 |  1 |    100 | -8.811440006276 | 39.745769984902 |
| 2400-258 |  2400-258 |  1 |    100 | -8.803524975108 | 39.747294988366 |
| 2400-448 |  2400-448 |  1 |    100 |  -8.81495001205 | 39.739559832839 |
| 2400-845 |  2400-845 |  1 |    100 | -8.824954986956 | 39.739405019087 |
| 2405-009 |  2405-009 |  1 |    100 | -8.912615025841 | 39.680945016295 |
| 2410-078 |  2410-078 |  1 |    100 | -8.798775034397 | 39.732025004799 |
| 2415-376 |  2415-376 |  1 |    100 | -8.792920023572 | 39.758105003162 |
| 2415-423 |  2415-423 |  1 |    100 | -8.825799966616 | 39.761730008648 |
| 2415-440 |  2415-440 |  1 |    100 | -8.819715040186 | 39.753904999119 |
| 2420-104 |  2420-104 |  1 |    100 | -8.705815034316 | 39.743640017576 |
| 2425-507 |  2425-507 |  1 |    100 | -8.834135014952 | 39.850765014929 |
| 2425-603 |  2425-603 |  1 |    100 | -8.835764959844 |  39.88814499224 |
| 2430-053 |  2430-053 |  1 |    100 | -8.923754994256 | 39.759409981668 |
| 2430-229 |  2430-229 |  1 |    100 | -8.930090036676 | 39.743130020678 |
| 2430-308 |  2430-308 |  1 |    100 | -8.935090009559 | 39.742905008487 |
| 2430-593 |  2430-593 |  1 |    100 | -8.912434982561 |  39.87540998956 |
| 2435-021 |  2435-021 |  1 |    100 | -8.540564975022 | 39.696805002027 |
| 2440-042 |  2440-042 |  1 |    100 | -8.825865010184 | 39.653104985903 |
| 2440-057 |  2440-057 |  1 |    100 | -8.818805016959 | 39.662270010292 |
| 2445-206 |  2445-206 |  1 |    100 |  -9.00438496331 | 39.665765012459 |
| 2450-000 |      2450 |  1 |  73.83 |    -9.039269027 |        39.58019 |
| 2450-051 |  2450-051 |  1 |    100 | -8.999275019858 | 39.626490012569 |
| 2460-001 |  2460-001 |  1 |    100 | -8.981869997914 | 39.556360011714 |
| 2460-028 |  2460-028 |  1 |    100 | -8.975349966891 | 39.546745004853 |
| 2460-067 |  2460-067 |  1 |    100 | -8.973954966745 | 39.550624987833 |
| 2460-711 |  2460-711 |  1 |    100 | -8.924229996709 |  39.56796999535 |
| 2475-138 |  2475-138 |  1 |    100 | -8.982970038887 | 39.425329994143 |
| 2475-149 |  2475-149 |  1 |    100 | -8.979409993151 |  39.42900499768 |
| 2480-173 |  2480-173 |  1 |    100 |  -8.83908000255 | 39.600994987227 |
| 2480-317 |  2480-317 |  1 |    100 | -8.818869976708 | 39.599330005981 |
| 2480-356 |  2480-356 |  1 |    100 |  -8.89950002958 | 39.603489986436 |
| 2485-075 |  2485-075 |  1 |    100 |  -8.71382997777 | 39.544469988693 |
| 2490-502 |  2490-502 |  1 |    100 | -8.579750037091 | 39.658350003724 |
| 2490-548 |  2490-548 |  1 |    100 | -8.574174981832 | 39.654935006823 |
| 2495-032 |  2495-032 |  1 |    100 | -8.718664994798 | 39.621485010545 |
| 2495-447 |  2495-447 |  1 |    100 |  -8.67964002708 | 39.634405001828 |
| 2495-552 |  2495-552 |  1 |    100 | -8.656345041774 | 39.621515017758 |
| 2500-066 |  2500-066 |  1 |    100 | -9.133665007136 | 39.410140015842 |
| 2500-074 |  2500-074 |  1 |    100 | -9.148680013208 | 39.408945007906 |
| 2500-113 |  2500-113 |  1 |    100 | -9.132324992275 | 39.412360004807 |
| 2500-146 |  2500-146 |  1 |    100 | -9.142825002383 | 39.400419983734 |
| 2500-191 |  2500-191 |  1 |    100 | -9.137769960397 | 39.405250013529 |
| 2500-209 |  2500-209 |  1 |    100 | -9.134185020409 | 39.398774993326 |
| 2500-211 |  2500-211 |  1 |    100 | -9.134754989825 |  39.40324502038 |
| 2500-235 |  2500-235 |  1 |    100 | -9.127165008861 | 39.409034987636 |
| 2500-329 |  2500-329 |  1 |    100 | -9.145170007434 | 39.406535001195 |
| 2500-843 |  2500-843 |  1 |    100 | -9.146974966464 | 39.410275006392 |
| 2505-170 |           |  0 |        |                 |                 |
| 2510-554 |  2510-554 |  1 |    100 | -9.228730038381 | 39.324780013098 |
| 2510-737 |      2510 |  1 |  73.83 |    -9.217556304 |    39.366595001 |
| 2520-201 |  2520-201 |  1 |    100 | -9.385900026833 | 39.356479993722 |
| 2520-208 |  2520-208 |  1 |    100 | -9.373189960315 | 39.358404981605 |
| 2520-295 |  2520-295 |  1 |    100 |  -9.38866001991 |  39.36194000736 |
| 2530-059 |  2530-059 |  1 |    100 | -9.324784972391 |  39.27161498427 |
| 2530-114 |  2530-114 |  1 |    100 | -9.307895018397 | 39.235749994049 |
| 2530-565 |      2530 |  1 |  73.83 |    -9.271093109 |    39.245510001 |
| 2540-004 |  2540-004 |  1 |    100 | -9.161540031974 | 39.270405014637 |
| 2540-040 |  2540-040 |  1 |    100 |  -9.16220002303 | 39.264569994651 |
| 2540-113 |  2540-113 |  1 |    100 | -9.157370035144 | 39.268720000642 |
| 2550-142 |  2550-142 |  1 |    100 | -9.104115026586 | 39.241620008481 |
| 2550-429 |  2550-429 |  1 |    100 | -9.051039977489 | 39.303569984298 |
| 2560-016 |  2560-016 |  1 |    100 | -9.294450026608 | 39.149975003279 |
| 2560-127 |  2560-127 |  1 |    100 | -9.318740027639 | 39.090755013326 |
| 2560-194 |  2560-194 |  1 |    100 | -9.390179994232 | 39.071485017925 |
| 2560-230 |  2560-230 |  1 |    100 | -9.258540025567 | 39.093994996089 |
| 2560-253 |  2560-253 |  1 |    100 | -9.258359982287 | 39.080274994057 |
| 2560-270 |  2560-270 |  1 |    100 | -9.256519986902 | 39.091814988801 |
| 2560-324 |  2560-324 |  1 |    100 | -9.256365005512 | 39.085750011301 |
| 2560-374 |  2560-374 |  1 |    100 | -9.262510030187 | 39.105610008866 |
| 2565-037 |  2565-037 |  1 |    100 | -9.229209986156 | 39.198155020922 |
| 2580-010 |  2580-010 |  1 |    100 | -9.018805021895 | 39.144149999667 |
| 2580-087 |  2580-087 |  1 |    100 | -9.122030003519 | 39.093669987793 |
| 2580-289 |  2580-289 |  1 |    100 | -9.008269975431 | 39.054875019498 |
| 2580-497 |  2580-497 |  1 |    100 | -8.969789999057 |  39.02233999177 |
| 2580-531 |  2580-531 |  1 |    100 | -8.998834969941 |  39.04664998364 |
| 2590-041 |  2590-041 |  1 |    100 |   -9.1523200223 | 39.020035010306 |
| 2590-430 |  2590-430 |  1 |    100 | -9.196525006181 | 38.969270013724 |
| 2600-100 |  2600-100 |  1 |    100 | -8.987389984069 | 38.957314989044 |
| 2600-180 |  2600-180 |  1 |    100 | -8.989704981907 | 38.952704984207 |
| 2600-230 |  2600-230 |  1 |    100 | -8.986375019414 | 38.956804992145 |
| 2600-605 |  2600-605 |  1 |    100 | -8.971874997472 | 38.989519979334 |
| 2601-906 |      2601 |  1 |  73.83 |        -8.98899 |        38.95585 |
| 2605-003 |  2605-003 |  1 |    100 | -9.228035010969 | 38.805685019496 |
| 2605-015 |  2605-015 |  1 |    100 | -9.260634998447 | 38.774030007782 |
| 2605-842 |  2605-842 |  1 |    100 |  -9.22917503362 | 38.801155019925 |
| 2610-110 |  2610-110 |  1 |    100 | -9.212850019901 | 38.737044985749 |
| 2615-072 |  2615-072 |  1 |    100 | -9.038895018883 | 38.898459989065 |
| 2615-150 |  2615-150 |  1 |    100 | -9.036410036048 | 38.894105003632 |
| 2615-329 |  2615-329 |  1 |    100 | -9.044239990899 | 38.902839994478 |
